Timestamp,Face Detected,EAR Left,EAR Right,EAR Avg,Blink Rate,MAR,Head Rot X,Head Rot Y,Head Rot Z,State
1729034100.145833,1,0.31030379173419353,0.2939660893178147,0.3021349405260041,0.0,0.0,-3.0561885797803043,-33.448612435226494,-0.019304953047176426,0
1729034100.1766982,1,0.31943828249996997,0.27735223630351347,0.2983952594017417,0.0,0.010866997704607785,-3.2544528065199714,-35.10431581496165,-0.015410895750121932,0
1729034100.2085192,1,0.33951081645786596,0.313292874068759,0.3264018452633125,0.0,0.0,-2.619432607356411,-36.13838815512347,-0.022123408681823636,0
1729034100.2398374,1,0.3592679931290071,0.313292874068759,0.33628043359888304,0.0,0.0,-3.116007513745571,-35.26261524210922,-0.02199707993439949,0
1729034100.27127,1,0.33041747225608425,0.2967552696911847,0.3135863709736345,0.0,0.011111111111111112,-4.320385564767523,-35.635088772624044,-0.019105737422944045,0
1729034100.3027008,1,0.3542624501695483,0.2951562614521907,0.3247093558108695,0.0,0.011111111111111112,-4.283585912772196,-36.285614991669824,-0.02247082930316528,0
1729034100.334461,1,0.3381936020637012,0.313292874068759,0.32574323806623007,0.0,0.0,-4.202121179959292,-35.49299430861309,-0.019233866063535474,0
1729034100.3661764,1,0.33041747225608425,0.2967552696911847,0.3135863709736345,0.0,0.011111111111111112,-4.342860495910775,-35.695157100344076,-0.02051488562863727,0
1729034100.399804,1,0.362245385694578,0.313292874068759,0.3377691298816685,0.0,0.010866997704607785,-4.25680360709468,-36.35352782905039,-0.019548098057958607,0
1729034100.4330568,1,0.3542624501695483,0.313292874068759,0.33377766211915366,0.0,0.011111111111111112,-4.042811428544472,-35.775567374924904,-0.02175090872897725,0
1729034100.4664943,1,0.362245385694578,0.2951562614521907,0.32870082357338437,0.0,0.0,-4.219353191856544,-35.66304710389594,-0.019482747952752913,0
1729034100.499714,1,0.3542624501695483,0.3070316347601759,0.3306470424648621,0.0,0.0,-3.478295638217155,-34.766779761337105,-0.021759593460299157,0
1729034100.5329304,1,0.362245385694578,0.28668761781189944,0.3244665017532387,0.0,0.0,-4.376808423388724,-34.731073186982314,-0.01823545389212186,0
1729034100.5662243,1,0.3542624501695483,0.2951562614521907,0.3247093558108695,0.0,0.010869565217391304,-3.7847338378141098,-35.11308279801452,-0.014682603331555645,0
1729034100.5993028,1,0.362245385694578,0.28992134818515547,0.3260833669398667,0.0,0.010869565217391304,-3.9654555074454794,-35.107823557055625,-0.01916251537106642,0
1729034100.6326964,1,0.33153690224633575,0.2788388357752261,0.30518786901078093,0.0,0.010869565217391304,-3.2596786752712736,-35.238546748075706,-0.02067771383597041,0
1729034100.6662035,1,0.362245385694578,0.27293819065935887,0.3175917881769684,0.0,0.0,-4.147476568576367,-35.056508044984355,-0.019954646353277195,0
1729034100.6995225,1,0.362245385694578,0.26067743772277596,0.31146141170867697,0.0,0.0,-3.9103960823115766,-34.56378315016501,-0.019745242885770377,0
1729034100.7327874,1,0.3542624501695483,0.2697044602861028,0.31198345522782556,0.0,0.0,-2.5471603098779703,-34.98206268756445,-0.022272360889090875,0
1729034100.766433,1,0.3406610540266079,0.2638029349692527,0.3022319944979303,0.0,0.010869565217391304,-3.7552229894969247,-35.17407351044,-0.019637298697367217,0
